Code	Kor	W_Eng
405  _NN_Cash_ChargeErr	Ocorreu um erro durante a recarga de eCoins.
406  _NN_NOTUSE_TRANS	Impossível utilizar em personagens Arch. 
407  _NN_NOTUSE_YET	Fora de serviço. 
408  _NN_Maximum_Point_255_Now	Limte de pontos atingido. 
409  _NN_EquipArmor_Refine	Quest completada com sucesso. 
410  _DN_Recovery_Life	Foram restauradas %d vida(s) de sua montaria. 
411  _DN_CanUse_Tiem	Você pode usar esse serviço às %d.
412  _NN_Crack_Block	Conta bloqueada por 3 horas devido a comportamento suspeito. 
413  _SN_Use_Item	Você usou o item _%s.
414  _I64D_TOWN_TAX	Imposto coletado %I64d
415  _DD_QUIZ	Você obteve %d de XP e %d em GOLD.
416  _DD_NOT_QUIZ	Resposta errada! Tente na próxima vez!
417  _NN_GIVE_TOWN_TAX	Você coletou os impostos.
418  _NN_CANT_USE_NIGHTMARE	Você não pode entrar no pesadelo entre 18h e 24h.
419  _NN_CHANGE_PASSWORD	Você  deve alterar sua senha antes de conectar.
420  _DN_CHANGE_COUNT	Você pode usar isso %d vezes.
421  _SN_CREATEGUILD	Guilda %s foi criada.
422  _SN_JOINGUILD	Você entrou na guilda %s.
423  _DN_TOWNSPEOPLE	Você é cidadão deste canal. Drop bônus de %d.
424  _DN_BASEWORRESULT	O canal %d  ocupa o acampamento avançado do reino.
425  _DN_BASEWORSTART	Guerra de Torres acabou de ser iniciada.
426  _DD_SERVERWAR	O canal %d declarou guerra ao canal %d.
427  _DD_JOINTOWNPEP	Você foi registrado nesse servidor.
428  _DN_DOSERVERWAR	Canal %d em combate.
429  _NN_GSTRING_ERR	Nome de guilda inadequado! Deve conter até 10 letras.
430  _DN_DOSERVERWAR	Você não pode usar esse nome.
431  _NN_OPEN_HELLGATE	Portão da Zona Infernal iniciado.
432  _DN_TOWNBOUNS	Drop bônus de %d para cidadãos deste canal.
433  _DD_KINGDOMWAR_START	Guerra de Reinos iniciada.
434  _DD_KINGDOMWAR_END	Guerra de Reinos finalizada.
435  _NN_Check_User_Info	Cidadão: %d Fama: %d
436 _NN_LockSetMessage	Item Travado
437 _NN_CanelMessage	Item Destravado
438 _NN_LockCheckMessage	Um dos dois está travado, o item não pode ser trocado.
439 _NN_LockPsSetMessage	Senha do item é (%s).
440 _NN_LockPsChangeMessage	Senha do item alterou para (%s).
441  _DN_ServerWarTo	Você declarou guerra ao canal %d.
442  _DN_ServerWarFrom	O canal %d declarou guerra.
443  _NN_UNKNOWN	Missing String.
444  _NN_GenDarkShadow	No meio do castelo, em Nipple, surge Sombra Negra.
445  _NN_Refine_Down	Obteve uma falha na refinação.
446  _NN_CantCreateGOD2	Você não pode criar personagem Divino neste canal.
447  _NN_CantUseIt	Você não pode usar isso neste canal.
448  _NN_AlreadyClosing	A missão foi fechada por ordens recebidas.
449  _NN_NotMatchMission	 Isso não é admitido nas condições da missão.
450  _NN_ClearMission	Missão concluída. Item entregue.
451  _NN_NOT_TRANS3ITEM	Personagem Divino não pode usar isso.
452  _NN_FUll_CARRY	Inventário cheio.
